┌─────────┬───────────┬───────────────┬────────────────┬───────────┬──────────┬────────────────────┬───────────────┬───────────┬─────────┬──────────┬────────────────────┬─────────────────────────┬───────────────────┐
│ (index) │  ticker   │    sector     │      figi      │  volMax   │  volMin  │        avg         │       t       │    med    │   lot   │  price   │       total        │ total_minPriceIncrement │ minPriceIncrement │
│   58    │  'RUAL'   │  'materials'  │ 'BBG008F2T3T2' │  4103560  │   5693   │ 1171863.4642857143 │  394491283.8  │  928324   │   10    │  42.495  │       424.95       │          0.05           │       0.005       │
│   59    │  'TTLK'   │   'telecom'   │ 'BBG000RJL816' │  514017   │  16485   │ 143029.38095238095 │   72245844    │   92268   │  1000   │  0.783   │        783         │           0.5           │      0.0005       │
│   60    │  'GMKN'   │  'materials'  │ 'BBG004731489' │  235196   │   231    │ 66866.60714285714  │   971919581   │  62358.5  │    1    │  15586   │       15586        │            2            │         2         │
│   61    │  'MSRS'   │  'utilities'  │ 'BBG004S687G6' │   81729   │   7151   │ 30429.571428571428 │   30969776    │   29272   │  1000   │  1.058   │        1058        │           0.5           │      0.0005       │
│   62    │  'QIWI'   │     'it'      │ 'BBG005D1WCQ1' │  375516   │  23057   │ 101489.95238095238 │   48646936    │   76973   │    1    │   632    │        632         │           0.5           │        0.5        │
│   63    │  'IRKT'   │ 'industrials' │ 'BBG000FWGSZ5' │  108129   │   1684   │       13651        │   48571320    │   7637    │   100   │   63.6   │        6360        │            2            │       0.02        │
│   64    │  'ISKJ'   │ 'health_care' │ 'BBG000N16BP3' │  1176803  │  60020   │ 276486.61904761905 │  257284473.6  │  214368   │   10    │  120.02  │       1200.2       │           0.2           │       0.02        │
│   65    │  'OZON'   │  'consumer'   │ 'BBG00Y91R9T3' │  945237   │   2791   │ 204422.5357142857  │   349948156   │  201932   │    1    │   1733   │        1733        │           0.5           │        0.5        │
│   66    │  'UPRO'   │  'utilities'  │ 'BBG004S686W0' │  547460   │   429    │ 96884.67857142857  │   130711185   │  66757.5  │  1000   │  1.958   │        1958        │            1            │       0.001       │
│   67    │  'MTLRP'  │  'materials'  │ 'BBG004S68FR6' │  836536   │   227    │     160143.25      │ 188360986.25  │  87957.5  │   10    │  214.15  │       2141.5       │           0.5           │       0.05        │
│   68    │  'KZOSP'  │  'materials'  │ 'BBG0029SG1C1' │  3559740  │  69823   │ 393010.6666666667  │   73631310    │  231545   │   10    │   31.8   │        318         │           0.1           │       0.01        │
│   69    │  'LSNG'   │  'utilities'  │ 'BBG000NLC9Z6' │  1621633  │   4275   │ 137425.61904761905 │   58403201    │   36343   │   100   │  16.07   │        1607        │            1            │       0.01        │
│   70    │  'HYDR'   │  'utilities'  │ 'BBG00475K2X9' │  1545853  │   423    │ 134131.92857142858 │  57066886.7   │  68606.5  │  1000   │  0.8318  │       831.8        │           0.1           │      0.0001       │
│   71    │  'RTKMP'  │   'telecom'   │ 'BBG004S685M3' │   36129   │  10000   │ 21918.666666666668 │   13724144    │   21664   │   10    │  63.35   │       633.5        │           0.5           │       0.05        │
│   72    │  'AFKS'   │  'financial'  │ 'BBG004S68614' │  566318   │   1167   │ 241739.0357142857  │   405796242   │ 266270.5  │   100   │  15.24   │        1524        │           0.1           │       0.001       │
│   73    │  'VRSB'   │  'utilities'  │ 'BBG000BX7DH0' │  177753   │   1050   │ 20295.666666666668 │   20574216    │   5603    │   10    │  367.2   │        3672        │            2            │        0.2        │
│   74    │  'ROSN'   │   'energy'    │ 'BBG004731354' │  6386926  │  18536   │ 1929154.0357142857 │ 783984780.07  │ 1970058.5 │    1    │  397.95  │       397.95       │          0.05           │       0.05        │
│   75    │  'NKNC'   │  'materials'  │ 'BBG000GQSRR5' │  270981   │  12059   │ 58963.619047619046 │   33077473    │   26611   │   10    │  124.3   │        1243        │           0.5           │       0.05        │
│   76    │  'GAZP'   │   'energy'    │ 'BBG004730RP0' │ 11820394  │  10250   │      2661584       │  4150815104   │  2308060  │   10    │  179.84  │       1798.4       │           0.1           │       0.01        │
│   77    │  'KRKNP'  │   'energy'    │ 'BBG002B2J5X0' │   40459   │   659    │ 3785.9523809523807 │   20514640    │   1388    │    1    │  14780   │       14780        │           20            │        20         │
│   78    │  'RASP'   │  'materials'  │ 'BBG004S68696' │  1066115  │   288    │ 126677.10714285714 │   162941856   │   55272   │   10    │  294.8   │        2948        │           0.5           │       0.05        │
│   79    │  'CHMF'   │  'materials'  │ 'BBG00475K6C3' │  2677709  │   2851   │ 752154.8214285715  │   709096256   │  700688   │    1    │   1012   │        1012        │           0.2           │        0.2        │
│   80    │  'ETLN'   │ 'real_estate' │ 'BBG001M2SC01' │  4695252  │  156165  │ 1030327.380952381  │   37109344    │  539380   │    1    │   68.8   │        68.8        │          0.02           │       0.02        │
│   81    │  'SFTL'   │     'it'      │ 'BBG0136BTL03' │  2194414  │  107366  │ 544542.1904761905  │  37645310.8   │  307058   │    1    │  122.6   │       122.6        │           0.1           │        0.1        │
│   82    │  'RSTIP'  │  'utilities'  │ 'BBG000KTF667' │ -Infinity │ Infinity │        NaN         │       0       │     0     │  1000   │  1.123   │        1123        │            1            │       0.001       │
│   83    │  'SBERP'  │  'financial'  │ 'BBG0047315Y7' │  1090738  │   4597   │ 458345.9285714286  │ 1075724835.75 │ 457074.5  │   10    │  235.35  │       2353.5       │           0.1           │       0.01        │
